host_response_time,host_response_rate,host_neighbourhood,host_listings_count,neighbourhood,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,price
within an hour,100%,Leme,6.0,Leme,Rio de Janeiro,Rio de Janeiro,22010-060,-22.96012,-43.17222,Nature lodge,Private room,2,1.0,1.0,1.0,Real Bed,,$30.00,$0.00,2,1125,62,98.0,1.29,96.0
within a few hours,100%,Recreio dos Bandeirantes,1.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,22790,-23.020210000000002,-43.49245,Condominium,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$100.00,$0.00,3,1125,5,96.0,0.24,197.0
within a few hours,63%,Flamengo,1.0,Flamengo,Rio de Janeiro,Rio de Janeiro,22230,-22.93478,-43.17699,Apartment,Entire home/apt,8,1.0,3.0,4.0,Real Bed,$500.00,$300.00,$0.00,2,1125,3,73.0,0.11,301.0
,,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22041-070,-22.96627,-43.193000000000005,Condominium,Entire home/apt,4,1.0,2.0,3.0,Real Bed,$0.00,$170.00,$0.00,3,1125,1,100.0,0.28,199.0
,,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22630,-23.01071,-43.35563,Serviced apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,,$65.00,$98.00,3,1125,2,100.0,0.09,502.0
within an hour,100%,Leblon,4.0,Leblon,Rio de Janeiro,Rio de Janeiro,22430-190,-22.98134,-43.22361,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$180.00,$90.00,1,30,53,89.0,0.88,154.0
within a few hours,90%,,1.0,Copacabana,Rio de Janeiro,State of Rio de Janeiro,,-22.98623,-43.19155,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,$0.00,$35.00,$0.00,2,1125,8,100.0,0.38,120.0
,,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22031-011,-22.9654,-43.188340000000004,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$105.00,$80.00,3,11,1,100.0,0.28,288.0
,,Ipanema,1.0,Ipanema,Ipanema,Rio de Janeiro,22410-040,-22.98568,-43.208009999999994,Apartment,Entire home/apt,9,2.5,3.0,6.0,Real Bed,,$200.00,$0.00,5,1125,2,100.0,0.36,798.0
within a few hours,100%,,1.0,,Campo Grande,Rio de Janeiro,23070-470,-22.8948,-43.58082,House,Entire home/apt,6,1.0,2.0,2.0,Real Bed,,$100.00,$50.00,2,1125,2,100.0,1.15,69.0
within an hour,100%,Copacabana,7.0,Copacabana,Copacabana,Rio de Janeiro,22041-040,-22.96422,-43.19043,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"$1,000.00",$100.00,$35.00,2,25,1,100.0,1.0,69.0
within an hour,92%,Jardim Paulista,4.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22630-010,-23.00809,-43.328309999999995,Condominium,Entire home/apt,8,3.0,4.0,6.0,Real Bed,$0.00,$130.00,$0.00,2,1125,4,90.0,1.56,452.0
within a few hours,100%,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22775-046,-22.97285,-43.38323,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,1,15,3,100.0,0.09,452.0
,,Flamengo,1.0,Flamengo,Rio de Janeiro,Rio de Janeiro,22230-001,-22.93675,-43.175940000000004,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,,$150.00,$0.00,3,1125,7,94.0,0.25,241.0
within a few hours,100%,Leme,4.0,Leme,Leme,Rio de Janeiro,22020-002,-22.96434,-43.17238,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,$0.00,$0.00,$40.00,1,45,31,95.0,2.02,108.0
within a few hours,100%,Leblon,1.0,Leblon,Leblon,Rio de Janeiro,22430-160,-22.97863,-43.22364,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,$110.00,$100.00,1,1125,2,100.0,0.1,301.0
within a day,100%,Copacabana,2.0,Copacabana,Copacabana,Rio de Janeiro,22030-040,-22.96675,-43.18056,Apartment,Entire home/apt,4,1.5,1.0,2.0,Real Bed,,,$0.00,4,1125,1,100.0,0.29,459.0
within a day,94%,Recreio dos Bandeirantes,1.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,22790-702,-23.00816,-43.44259,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,,$50.00,$0.00,2,30,32,92.0,2.46,139.0
,,,2.0,Gávea,Rio de Janeiro,RJ,22451 170,-22.98121,-43.23898,House,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,1,1125,1,100.0,0.18,181.0
,,,1.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,22785,-23.02042,-43.51173,Apartment,Entire home/apt,5,4.0,3.0,3.0,Real Bed,$0.00,$100.00,$100.00,1,1125,2,100.0,0.09,405.0
,,,1.0,Centro,Rio de Janeiro,Rio de Janeiro,20240-200,-22.91688,-43.189029999999995,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$0.00,$60.00,3,1125,4,100.0,0.12,101.0
within a few hours,100%,Todos os Santos,3.0,Todos os Santos,Rio de Janeiro,Rio de Janeiro,20770,-22.89268,-43.285090000000004,House,Private room,1,2.0,1.0,1.0,Real Bed,$0.00,$0.00,$65.00,1,1125,2,100.0,0.15,85.0
within an hour,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22051-002,-22.97168,-43.19108,Apartment,Entire home/apt,4,1.0,1.0,4.0,Real Bed,$0.00,$130.00,$0.00,2,1125,8,100.0,0.27,301.0
,,,1.0,,Rio de Janeiro,Rio de Janeiro,20531,-22.97072,-43.27901,House,Entire home/apt,6,5.0,3.0,3.0,Real Bed,,,$0.00,3,1125,1,100.0,0.02,650.0
within an hour,100%,,2.0,,"Rio de Janeiro, Rio de Janeiro, BR",RJ,,-22.94013,-43.36169,House,Private room,3,1.5,1.0,2.0,Real Bed,$0.00,$58.00,$42.00,1,1125,7,91.0,0.21,54.0
within a few hours,100%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22051-002,-22.97449,-43.19153,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,,,$0.00,1,10,23,100.0,1.37,151.0
within a few hours,100%,Ipanema,2.0,Ipanema,Rio,Rio de Janeiro,22410-001,-22.98377,-43.20044,Apartment,Entire home/apt,4,1.5,1.0,4.0,Real Bed,$0.00,$80.00,$40.00,4,1125,99,95.0,1.59,158.0
within an hour,100%,Copacabana,8.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22630-012,-23.00907,-43.36007,Serviced apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$400.00,$250.00,$30.00,4,1125,2,100.0,0.09,201.0
within an hour,100%,Copacabana,10.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22280-020,-22.953229999999998,-43.18803,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,3,1125,29,94.0,0.71,105.0
within a day,60%,Jardim Botânico,1.0,Jardim Botânico,Rio de Janeiro,Rio de Janeiro,22470-050,-22.96405,-43.21952,Apartment,Private room,1,0.0,3.0,1.0,Real Bed,,,$0.00,1,1125,2,100.0,0.61,69.0
within a few hours,83%,Tijuca,1.0,Tijuca,Tijuca,Rio de Janeiro,20521-170,-22.92925,-43.23103,Apartment,Entire home/apt,4,2.0,3.0,1.0,Real Bed,$0.00,$150.00,$60.00,4,30,4,95.0,0.46,179.0
within a few hours,100%,Copacabana,6.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22775,-22.97273,-43.38942,Condominium,Entire home/apt,4,2.0,2.0,2.0,Real Bed,,$120.00,$0.00,2,1125,5,96.0,0.39,251.0
,,,2.0,Santa Teresa,Rio de Janeiro,Rio de Janeiro,20251-330,-22.9205,-43.19421,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,$58.00,1,1125,5,92.0,0.14,154.0
within a day,100%,,1.0,Copacabana,Rio de Janeiro,State of Rio de Janeiro,22080-040,-22.98616,-43.190979999999996,Apartment,Entire home/apt,7,3.0,4.0,4.0,Real Bed,$0.00,$300.00,$0.00,5,1125,9,100.0,0.17,1451.0
,,,1.0,Ipanema,Ipanema,State of Rio de Janeiro,22081-042,-22.986810000000002,-43.19664,Apartment,Private room,2,2.0,1.0,2.0,Real Bed,,,$100.00,2,15,1,100.0,0.04,1079.0
within a day,100%,Laranjeiras,2.0,Laranjeiras,Rio,Rio de Janeiro,22241-000,-22.93694,-43.19154,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,$80.00,$0.00,2,15,5,92.0,0.08,120.0
within an hour,100%,Leblon,1.0,Leblon,Rio de Janeiro,Rio de Janeiro,22441-120,-22.98412,-43.226290000000006,Serviced apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,$0.00,2,1125,16,98.0,0.38,351.0
,,,1.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22790,-23.012439999999998,-43.45292,Hostel,Shared room,2,1.0,1.0,2.0,Real Bed,,,$77.00,7,30,1,100.0,0.03,232.0
within an hour,100%,,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011-001,-22.96528,-43.17937,Apartment,Entire home/apt,6,2.0,2.0,2.0,Real Bed,,$99.00,$50.00,2,10,38,93.0,0.75,452.0
within an hour,100%,,1.0,Barra da Tijuca,Rio de Janeiro,RJ,22630-000,-23.00984,-43.36327,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,,$160.00,$100.00,3,1125,9,95.0,0.38,289.0
within an hour,90%,Barra da Tijuca,2.0,Barra da Tijuca,Barra da Tijuca,Rio de Janeiro,22793-355,-22.99971,-43.41744,Condominium,Private room,2,1.0,0.0,1.0,Real Bed,,,$0.00,5,1125,1,100.0,0.29,301.0
within a few hours,100%,Tijuca,1.0,Tijuca,Tijuca,Rio de Janeiro,20511-330,-22.93451,-43.24483,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$70.00,$55.00,3,365,7,97.0,0.43,139.0
a few days or more,40%,,1.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22250-040,-22.94603,-43.184,Serviced apartment,Entire home/apt,3,1.0,0.0,3.0,Real Bed,$0.00,$50.00,$0.00,2,1125,1,80.0,0.02,151.0
,,,1.0,Copacabana,Rio de Janeiro ,Rj,22080030,-22.986629999999998,-43.19175,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$150.00,$0.00,4,1125,1,100.0,0.28,499.0
within a day,86%,Copacabana,2.0,Copacabana,Copacabana,Rio de Janeiro,22020-020,-22.965410000000002,-43.17414,Apartment,Entire home/apt,12,3.0,4.0,6.0,Real Bed,"$1,000.00",$250.00,$50.00,3,30,2,100.0,0.22,799.0
within a few hours,100%,Centro,1.0,Centro,Rio de Janeiro,Rio de Janeiro,20240-020,-22.91554,-43.18865,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$433.00,$87.00,$43.00,5,31,5,95.0,0.08,282.0
within a day,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22081-020,-22.98302,-43.192479999999996,Apartment,Entire home/apt,5,2.5,3.0,4.0,Real Bed,"$1,500.00",,$0.00,1,1125,4,85.0,0.1,799.0
within an hour,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22071-020,-22.9789,-43.1906,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,$0.00,$70.00,$60.00,2,1125,105,97.0,2.34,181.0
within a few hours,100%,Copacabana,3.0,Copacabana,Rio,Rio de Janeiro,22051-002,-22.97436,-43.18965,Apartment,Entire home/apt,5,1.5,2.0,4.0,Real Bed,$500.00,$190.00,$20.00,3,1124,73,98.0,1.04,170.0
,,,1.0,Gávea,Gávea,Rio de Janeiro,22451-000,-22.9814,-43.2322,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,$0.00,$150.00,$0.00,2,1125,2,100.0,0.12,699.0
a few days or more,40%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22011-002,-22.964170000000003,-43.177040000000005,Apartment,Entire home/apt,6,2.0,2.0,4.0,Real Bed,$0.00,$160.00,$30.00,3,30,16,99.0,0.38,112.0
within an hour,90%,,2.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22793-340,-23.007820000000002,-43.4263,Apartment,Entire home/apt,4,1.5,2.0,2.0,Real Bed,,$0.00,$60.00,1,5,13,93.0,0.38,81.0
,,Copacabana,1.0,Copacabana,Rio,Rio de Janeiro,22040-010,-22.96574,-43.186409999999995,Apartment,Entire home/apt,5,3.0,2.0,3.0,Real Bed,"$1,930.00",,$0.00,4,365,7,100.0,0.11,965.0
within an hour,100%,Leblon,1.0,Leblon,Leblon,Rio de Janeiro,22430-220,-22.98179,-43.22067,Apartment,Entire home/apt,4,2.5,2.0,2.0,Real Bed,$600.00,$180.00,$100.00,3,90,5,88.0,1.12,251.0
within a day,50%,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22011-040,-22.96215,-43.17543,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,$0.00,$30.00,$0.00,2,30,33,96.0,2.0,139.0
,,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22775053,-22.96919,-43.38572,Apartment,Entire home/apt,4,2.0,2.0,3.0,Real Bed,"$3,195.00",,$159.00,3,360,1,100.0,0.03,639.0
,,Catete,1.0,Catete,Catete,Rio de Janeiro,22211-200,-22.92464,-43.17759,Apartment,Private room,4,1.5,1.0,1.0,Real Bed,,$100.00,$0.00,2,1125,1,100.0,0.18,1598.0
,,Lapa,1.0,Lapa,Rio de Janeiro,Rio de Janeiro,20230-014,-22.91391,-43.18476,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,$500.00,$100.00,$0.00,4,1125,2,70.0,0.06,152.0
within a day,67%,Copacabana,11.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22071-020,-22.97854,-43.189859999999996,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,$500.00,$150.00,$0.00,2,1125,3,100.0,0.13,170.0
,,Leblon,1.0,Leblon,Rio de Janeiro,Rio de Janeiro,22440-040,-22.98562,-43.22044,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,,$140.00,$0.00,4,1125,1,100.0,0.03,749.0
within an hour,100%,,1.0,Ipanema,Rio de Janeiro,RJ,22071-110,-22.98355,-43.19556,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$0.00,$80.00,$0.00,2,1125,27,99.0,3.77,251.0
,,,4.0,Copacabana,Rio de Janeiro,RJ,22040-002,-22.969079999999998,-43.18727,Apartment,Private room,3,1.0,1.0,2.0,Real Bed,,,$0.00,1,1125,2,100.0,0.11,301.0
within an hour,100%,,7.0,Penha,Rio de Janeiro,Rio de Janeiro,21021,-22.836029999999997,-43.26621,Apartment,Private room,2,1.0,1.0,2.0,Real Bed,$0.00,$50.00,$0.00,1,1125,12,98.0,0.47,66.0
within a few hours,100%,Barra da Tijuca,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22631-030,-23.005,-43.33037,Apartment,Entire home/apt,4,1.0,2.0,3.0,Real Bed,"$1,930.00",$309.00,$0.00,2,30,23,97.0,0.67,205.0
within a day,80%,Copacabana,4.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22081,-22.98412,-43.19288,Townhouse,Private room,2,1.5,1.0,2.0,Real Bed,,,$60.00,1,1125,22,93.0,0.63,116.0
within an hour,100%,Leblon,5.0,Flamengo,Rio de Janeiro,Rio de Janeiro,22231-130,-22.93443,-43.1779,Apartment,Entire home/apt,2,1.0,1.0,0.0,Real Bed,"$3,000.00",$170.00,$25.00,3,30,27,99.0,0.72,108.0
,,,1.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22790,-23.02103,-43.45521,Apartment,Entire home/apt,5,2.0,2.0,2.0,Real Bed,"$1,000.00",$160.00,$0.00,3,1125,4,73.0,0.12,351.0
within a few hours,90%,,1.0,Copacabana,Rio de Janeiro,RJ,22051001,-22.97208,-43.190690000000004,Apartment,Entire home/apt,6,2.0,3.0,5.0,Real Bed,$0.00,$150.00,$0.00,3,1125,1,100.0,0.28,648.0
within an hour,100%,Copacabana,10.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22020-020,-22.965770000000003,-43.17648,Apartment,Private room,3,,1.0,2.0,Real Bed,,,$0.00,2,365,1,100.0,0.18,139.0
,,Ipanema,1.0,Ipanema,Rio,Rio de Janeiro,22411001,-22.98368,-43.19941,Apartment,Entire home/apt,6,4.0,2.0,3.0,Real Bed,"$11,579.00",$772.00,$0.00,1,1125,1,94.0,0.02,6948.0
within an hour,100%,Copacabana,2.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22071030,-22.9768,-43.19437,Apartment,Entire home/apt,2,1.5,1.0,1.0,Real Bed,$0.00,$180.00,$0.00,3,1125,121,99.0,2.38,251.0
within a few hours,100%,Cosme Velho,4.0,Cosme Velho,Rio de Janeiro,Rio de Janeiro,20241-265,-22.94352,-43.20531,Bungalow,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$90.00,$60.00,3,1124,7,100.0,0.2,120.0
,,Humaitá,1.0,Humaitá,Rio de Janeiro,Rio de Janeiro,22261-090,-22.95695,-43.202940000000005,Apartment,Entire home/apt,2,2.0,1.0,1.0,Real Bed,,$150.00,$250.00,3,1125,3,93.0,0.04,428.0
within a few hours,100%,,4.0,Copacabana,Rio de Janeiro,Rio de Janeiro,,-22.97516,-43.19274,Serviced apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,,,$0.00,2,89,3,100.0,0.1,401.0
within a few hours,100%,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22775-060,-22.97404,-43.39113,Apartment,Entire home/apt,6,2.0,3.0,6.0,Real Bed,"$4,000.00",$300.00,$200.00,10,1125,4,100.0,0.06,784.0
within a few hours,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22070-011,-22.98177,-43.190509999999996,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,$390.00,$80.00,$250.00,4,28,35,99.0,0.74,120.0
within an hour,86%,Copacabana,3.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22071-100,-22.982329999999997,-43.19481,Apartment,Entire home/apt,4,1.0,0.0,4.0,Real Bed,$0.00,$150.00,$20.00,3,89,1,100.0,0.11,66.0
,,,4.0,Copacabana,Rio de Janeiro,RJ,22061,-22.97494,-43.19332,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,"$1,000.00",$200.00,$125.00,1,20,1,100.0,0.06,371.0
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22040-002,-22.96614,-43.18342,Apartment,Entire home/apt,6,2.0,2.0,5.0,Real Bed,,$120.00,$0.00,5,10,2,100.0,0.12,328.0
,,,1.0,Flamengo,Rio de Janeiro,Rio de Janeiro,22220001,-22.93003,-43.176759999999994,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,"$1,200.00",$150.00,$50.00,2,1125,1,100.0,0.03,301.0
within an hour,100%,Santa Teresa,7.0,Santa Teresa,Rio,Rio de Janeiro,22211,-22.922710000000002,-43.18267,Guesthouse,Entire home/apt,2,1.0,1.0,2.0,Real Bed,$417.00,$80.00,$0.00,2,1125,141,95.0,2.35,96.0
,,Flamengo,1.0,Flamengo,Rio,Rio de Janeiro,22210-040,-22.92762,-43.17515,Loft,Entire home/apt,3,1.0,1.0,2.0,Real Bed,,$150.00,$0.00,2,1125,11,96.0,0.18,251.0
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22080-001,-22.98375,-43.19101,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,$130.00,$40.00,2,30,14,93.0,0.32,160.0
within an hour,100%,,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22051-021,-22.97319,-43.19052,Apartment,Entire home/apt,4,2.0,1.0,2.0,Pull-out Sofa,"$1,500.00",$220.00,$0.00,3,30,52,99.0,1.5,189.0
a few days or more,25%,Recreio dos Bandeirantes,10.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22790-200,-23.0107,-43.4503,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,$0.00,$193.00,$289.00,2,91,1,80.0,0.05,81.0
within a day,100%,Catete,1.0,Catete,Rio de Janeiro,Rio de Janeiro,22221-011,-22.93153,-43.178909999999995,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,,,$0.00,2,1125,15,87.0,0.4,170.0
within an hour,100%,Ipanema,3.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22071-110,-22.986520000000002,-43.19591,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,$50.00,$60.00,3,30,32,99.0,0.7,162.0
within an hour,100%,Recreio dos Bandeirantes,4.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,22790-877,-23.03124,-43.4749,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,$0.00,$90.00,$20.00,2,89,27,100.0,0.85,313.0
within a day,100%,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,,-22.972920000000002,-43.3906,Condominium,Entire home/apt,6,2.0,3.0,3.0,Real Bed,$500.00,$180.00,$60.00,1,1125,2,80.0,0.06,301.0
a few days or more,0%,,2.0,Recreio dos Bandeirantes,Recreio,Rio de Janeiro,22790-701,-23.013939999999998,-43.44959,Apartment,Private room,2,1.5,1.0,1.0,Real Bed,"$1,930.00",$193.00,$0.00,5,30,1,80.0,0.03,189.0
within an hour,100%,Ipanema,1.0,Ipanema,Rio de Janeiro,Rio de Janeiro,22081-031,-22.985670000000002,-43.19618,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$180.00,$0.00,5,120,30,99.0,1.23,162.0
,,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22775,-22.96694,-43.39115,Apartment,Entire home/apt,5,1.0,2.0,4.0,Real Bed,,,$100.00,2,30,1,100.0,0.05,152.0
,,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22021-010,-22.96394,-43.17685,Apartment,Private room,3,2.5,1.0,3.0,Real Bed,$0.00,$160.00,$70.00,2,15,12,98.0,0.44,81.0
within a few hours,100%,,1.0,,Río de Janeiro,RJ,22641514,-22.98715,-43.30941,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,$0.00,$70.00,$30.00,3,1125,3,93.0,0.09,201.0
within an hour,100%,Lapa,6.0,Centro,Centro,Rio de Janeiro,20021-260,-22.91474,-43.177820000000004,Townhouse,Entire home/apt,10,4.5,4.0,6.0,Real Bed,,$200.00,$50.00,2,1125,3,100.0,0.34,598.0
,,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22030-040,-22.96613,-43.18223,Apartment,Private room,2,2.0,1.0,1.0,Real Bed,,$50.00,$50.00,2,1125,2,100.0,0.11,121.0
within a day,75%,,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22071-100,-22.9821,-43.19408,Apartment,Entire home/apt,5,1.0,1.0,1.0,Pull-out Sofa,$400.00,$200.00,$0.00,3,20,3,100.0,0.14,301.0
,,,1.0,Glória,Rio de Janeiro,Rio de Janeiro,,-22.92435,-43.175670000000004,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,,,$0.00,1,30,1,100.0,0.06,62.0
within an hour,100%,Copacabana,15.0,Ipanema,Rio De Janeiro,Rj,22401001,-22.98539,-43.19927,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$0.00,$140.00,$0.00,1,1125,4,80.0,0.83,308.0
,,,1.0,Barra da Tijuca,Rio de Janeiro,Rio de Janeiro,22775,-22.97073,-43.39622,Apartment,Entire home/apt,6,2.0,3.0,4.0,Real Bed,,,$0.00,1,1125,3,80.0,0.09,1612.0
,,,3.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22081,-22.98096,-43.19435,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,$300.00,$180.00,$0.00,2,365,2,100.0,0.1,93.0
within a few hours,100%,Ipanema,2.0,Ipanema,Ipanema,Rio de Janeiro,22080-045,-22.986829999999998,-43.19276,Apartment,Entire home/apt,10,5.0,5.0,10.0,Real Bed,"$6,000.00",$400.00,$250.00,2,1125,1,100.0,1.0,2169.0
,,Lapa,1.0,Centro,Centro,Rio de Janeiro,20230-180,-22.91131,-43.187329999999996,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,$0.00,$34.00,$26.00,1,1125,55,99.0,2.27,58.0
within an hour,100%,Botafogo,1.0,Botafogo,Rio de Janeiro,Rio de Janeiro,22280-002,-22.95273,-43.18459,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,,$140.00,$50.00,2,20,6,97.0,0.26,97.0
,,Copacabana,1.0,Copacabana,Copacabana,Rio de Janeiro,22071-000,-22.97695,-43.19342,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,,,$0.00,5,1125,3,100.0,0.29,62.0
within an hour,100%,Copacabana,1.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22051,-22.97231,-43.187090000000005,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$800.00,$150.00,$20.00,3,90,39,94.0,1.12,104.0
,,,2.0,Botafogo,Botafogo,Rio de Janeiro,22250-040,-22.94519,-43.18285,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,$0.00,$60.00,$25.00,3,1125,16,96.0,1.7,97.0
within a day,60%,Leblon,2.0,Leblon,Rio de Janeiro,Rio de Janeiro,22440-033,-22.981189999999998,-43.2155,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,,$130.00,$150.00,1,1125,8,95.0,0.16,251.0
within an hour,100%,Copacabana,4.0,Copacabana,Rio de Janeiro,Rio de Janeiro,22060,-22.979779999999998,-43.19014,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,$500.00,$80.00,$50.00,2,89,8,88.0,0.68,96.0
,,,1.0,Jardim Botânico,Rio de Janeiro,Rio de Janeiro,22460-010,-22.96341,-43.2219,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,"$2,000.00",,$0.00,5,20,6,90.0,0.11,502.0
within a few hours,90%,,2.0,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio de Janeiro,22785-560,-23.026239999999998,-43.50197,House,Entire home/apt,10,6.5,5.0,5.0,Real Bed,"$1,000.00",$200.00,$0.00,2,30,24,100.0,1.14,749.0
,,São Conrado,1.0,São Conrado,Rio de Janeiro,Rio de Janeiro,22610,-22.9953,-43.253890000000006,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,$900.00,$150.00,$0.00,3,30,2,80.0,0.29,351.0
within a few hours,90%,Recreio dos Bandeirantes,1.0,Recreio dos Bandeirantes,Rio de Janeiro,Rio de Janeiro,22790-710,-23.01762,-43.45067,Apartment,Entire home/apt,6,3.0,3.0,4.0,Real Bed,$0.00,$100.00,$0.00,1,1125,3,90.0,0.09,251.0
,,Glória,1.0,Glória,Flamengo,Rio de Janeiro,22221-000,-22.923920000000003,-43.17532,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,"$3,500.00",$150.00,$0.00,2,7,3,93.0,0.16,96.0
